,id,title,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
653,tm153801,The Visitors,MOVIE,1972,R,88,"['thriller', 'crime', 'drama']",0.0,6.4,1392.0,1.9069999999999998,6.1
654,tm187928,Electra Glide in Blue,MOVIE,1973,PG,114,"['thriller', 'crime', 'drama']",0.0,7.1,5687.0,5.3420000000000005,7.1
655,tm96250,Schizoid,MOVIE,1980,R,89,"['horror', 'drama', 'thriller']",0.0,5.0,1438.0,6.9270000000000005,5.3
656,tm40372,The Angry Red Planet,MOVIE,1959,,83,"['scifi', 'horror']",0.0,5.2,3286.0,6.14,5.6
657,tm80366,Dr. Goldfoot and the Bikini Machine,MOVIE,1965,G,88,"['comedy', 'scifi']",0.0,5.0,2235.0,3.62,5.3
658,tm103076,Cry of the Banshee,MOVIE,1970,R,91,['horror'],0.0,5.5,2426.0,4.976,5.5
659,tm189289,Don't Look in the Basement,MOVIE,1973,R,89,"['thriller', 'horror']",0.0,4.9,3129.0,3.9330000000000003,5.0
660,tm79175,The Bed Sitting Room,MOVIE,1969,R,91,"['scifi', 'comedy']",0.0,6.1,2251.0,3.7060000000000004,6.1
661,tm103026,The Outsider,MOVIE,1980,R,128,"['drama', 'history', 'thriller']",0.0,6.8,254.0,1.4069999999999998,5.8
662,tm14917,The Last Time I Saw Paris,MOVIE,1954,,116,"['drama', 'romance']",0.0,6.1,3779.0,4.552,6.1
663,tm69512,Lord Love a Duck,MOVIE,1966,,105,"['drama', 'comedy', 'romance']",0.0,6.4,1694.0,2.955,6.2
664,tm131855,Go for Broke!,MOVIE,1951,,92,"['drama', 'war', 'history']",0.0,6.6,1464.0,2.559,5.7
665,tm109858,Madhouse,MOVIE,1974,PG,92,"['horror', 'thriller', 'crime']",0.0,6.2,4087.0,5.354,6.2
666,tm10600,The Premature Burial,MOVIE,1962,,81,"['drama', 'thriller', 'horror']",0.0,6.5,4139.0,7.622000000000001,6.3
667,tm18285,Whoever Slew Auntie Roo?,MOVIE,1972,PG,91,"['thriller', 'horror']",0.0,6.1,1955.0,5.989,6.7
668,tm73374,Savage Weekend,MOVIE,1979,R,88,"['thriller', 'horror']",0.0,4.5,1574.0,3.2760000000000002,4.3
669,tm126107,I Don't Want to Be Born,MOVIE,1975,R,95,"['thriller', 'horror']",0.0,4.1,1274.0,2.9189999999999996,5.1
670,tm109217,The Fast and the Furious,MOVIE,1954,,73,"['drama', 'crime', 'thriller']",0.0,5.3,1334.0,2.822,4.7
671,tm16603,The Magic Sword,MOVIE,1962,,80,"['fantasy', 'drama', 'action']",0.0,4.7,2324.0,3.471,3.9
672,tm156101,Moon of the Wolf,MOVIE,1972,,75,"['horror', 'thriller']",0.0,5.0,1558.0,2.71,5.0
673,tm81862,Sergeant Dead Head,MOVIE,1965,,90,['comedy'],0.0,4.6,233.0,1.462,3.0
674,tm83284,J.D.'s Revenge,MOVIE,1976,R,95,"['horror', 'thriller', 'action']",0.0,6.0,1202.0,2.818,5.9
